Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_northing,UTM_easting,UTC,Zone,Letter
1676050877.227866,0,63677,0,GPS1_FRAME,1.0397566666666667,-11.918403333333334,1.7,10.6,175166.5449527881,115074.69800029729,174117.0,29,N
1676050878.2281055,0,63678,0,GPS1_FRAME,1.0397516666666666,-11.91841,1.7,10.6,175165.8017600294,115074.14531323563,174118.0,29,N
1676050879.2127962,0,63679,0,GPS1_FRAME,1.0397466666666666,-11.918418333333333,1.7,10.7,175164.87289705442,115073.59279793268,174119.0,29,N
1676050880.2278366,0,63680,0,GPS1_FRAME,1.0397416666666668,-11.918426666666667,1.7,10.7,175163.94403407222,115073.04028262394,174120.0,29,N
1676050881.210849,0,63681,0,GPS1_FRAME,1.0397366666666668,-11.918434999999999,1.7,10.6,175163.01517108252,115072.4877673094,174121.0,29,N
1676050882.2109826,0,63682,0,GPS1_FRAME,1.0397333333333334,-11.918446666666666,1.7,10.7,175161.71513829555,115072.12005356122,174122.0,29,N
1676050883.2117774,0,63683,0,GPS1_FRAME,1.0397266666666667,-11.918456666666666,1.7,10.7,175160.60043442657,115071.38325195087,174123.0,29,N
1676050884.2117865,0,63684,0,GPS1_FRAME,1.0397216666666667,-11.918465,1.7,10.7,175159.67157140962,115070.83073661804,174124.0,29,N
1676050885.2284808,0,63685,0,GPS1_FRAME,1.0397166666666666,-11.918473333333333,1.7,10.8,175158.7427083854,115070.27822127938,174125.0,29,N
1676050886.211814,0,63686,0,GPS1_FRAME,1.03971,-11.918481666666667,1.7,10.8,175157.81367471343,115069.54124788288,174126.0,29,N
1676050887.2118406,0,63687,0,GPS1_FRAME,1.0397033333333332,-11.91849,1.7,10.9,175156.884641035,115068.80427447786,174127.0,29,N
1676050888.2287908,0,63688,0,GPS1_FRAME,1.0396966666666667,-11.9185,1.7,10.9,175155.76993712457,115068.06747282471,174128.0,29,N
1676050889.2107837,0,63689,0,GPS1_FRAME,1.0396916666666667,-11.918508333333333,1.7,11.0,175154.84107407002,115067.51495745851,174129.0,29,N
1676050890.210748,0,63690,0,GPS1_FRAME,1.0396866666666666,-11.918516666666667,1.7,11.0,175153.91221100802,115066.9624420865,174130.0,29,N
1676050891.2119925,0,63691,0,GPS1_FRAME,1.0396816666666666,-11.918526666666667,1.7,11.1,175152.79767770495,115066.41009846816,174131.0,29,N
1676050892.210834,0,63692,0,GPS1_FRAME,1.0396766666666666,-11.918535,1.7,11.2,175151.86881462653,115065.85758308427,174132.0,29,N
1676050893.2117164,0,63693,0,GPS1_FRAME,1.0396716666666665,-11.918543333333334,1.7,11.2,175150.93995154073,115065.30506769459,174133.0,29,N
1676050894.21175,0,63694,0,GPS1_FRAME,1.0396683333333334,-11.918553333333334,1.7,11.2,175149.82558884862,115064.93718212159,174134.0,29,N
1676050895.2119622,0,63695,0,GPS1_FRAME,1.039665,-11.918563333333333,1.7,11.2,175148.71122614254,115064.56929654544,174135.0,29,N
1676050896.2126284,0,63696,0,GPS1_FRAME,1.0396616666666667,-11.918573333333335,1.7,11.2,175147.59686342813,115064.20141096626,174136.0,29,N
1676050897.2117994,0,63697,0,GPS1_FRAME,1.0396583333333334,-11.918581666666666,1.7,11.2,175146.66817094397,115063.8333536251,174137.0,29,N
1676050898.2105145,0,63698,0,GPS1_FRAME,1.0396533333333333,-11.918591666666666,1.7,11.2,175145.55363756866,115063.28100996964,174138.0,29,N
1676050899.2122009,0,63699,0,GPS1_FRAME,1.0396500000000002,-11.9186,1.7,11.3,175144.6249450674,115062.912952621,174139.0,29,N
1676050900.2115676,0,63700,0,GPS1_FRAME,1.039645,-11.918608333333333,1.7,11.2,175143.6960819214,115062.36043719637,174140.0,29,N
1676050901.20992,0,63701,0,GPS1_FRAME,1.0396416666666668,-11.918614999999999,1.7,11.2,175142.9530596556,115061.99220808216,174141.0,29,N
1676050902.2260816,0,63702,0,GPS1_FRAME,1.0396366666666668,-11.918621666666667,1.7,11.1,175142.2098667457,115061.43952088995,174142.0,29,N
1676050903.211406,0,63703,0,GPS1_FRAME,1.0396316666666665,-11.91863,1.7,11.3,175141.2810035805,115060.88700545006,174143.0,29,N
1676050904.2273808,0,63704,0,GPS1_FRAME,1.0396266666666667,-11.918638333333332,1.7,11.2,175140.35214040778,115060.33449000439,174144.0,29,N
1676050905.2104502,0,63705,0,GPS1_FRAME,1.0396216666666667,-11.918645,1.7,11.1,175139.60894748202,115059.78180279623,174145.0,29,N
1676050906.2274942,0,63706,0,GPS1_FRAME,1.0396166666666666,-11.918653333333333,1.7,11.1,175138.68008429633,115059.22928733935,174146.0,29,N
1676050907.2115548,0,63707,0,GPS1_FRAME,1.0396116666666666,-11.91866,1.7,11.0,175137.93689136335,115058.67660012077,174147.0,29,N
1676050908.2122276,0,63708,0,GPS1_FRAME,1.0396066666666668,-11.918668333333333,1.7,11.1,175137.0080281645,115058.12408465266,174148.0,29,N
1676050909.2122567,0,63709,0,GPS1_FRAME,1.0396016666666668,-11.918675,1.7,11.2,175136.26483521872,115057.57139742366,174149.0,29,N
1676050910.227761,0,63710,0,GPS1_FRAME,1.0395949999999998,-11.918683333333332,1.7,11.2,175135.33580137347,115056.83442385898,174150.0,29,N
1676050911.2280684,0,63711,0,GPS1_FRAME,1.03959,-11.91869,1.7,11.2,175134.59260841808,115056.28173661842,174151.0,29,N
1676050912.212276,0,63712,0,GPS1_FRAME,1.039585,-11.918698333333333,1.7,11.2,175133.66374519322,115055.72922112643,174152.0,29,N
1676050913.2118392,0,63713,0,GPS1_FRAME,1.03958,-11.918705,1.7,11.2,175132.92055223067,115055.17653387536,174153.0,29,N
1676050914.2119193,0,63714,0,GPS1_FRAME,1.039575,-11.918713333333333,1.7,11.2,175131.99168899277,115054.62401837218,174154.0,29,N
1676050915.2129655,0,63715,0,GPS1_FRAME,1.0395683333333332,-11.918721666666666,1.7,11.2,175131.06265511631,115053.88704477159,174155.0,29,N
1676050916.2119963,0,63716,0,GPS1_FRAME,1.0395616666666667,-11.918726666666666,1.7,11.1,175130.5049617765,115053.14972765937,174156.0,29,N
1676050917.211244,0,63717,0,GPS1_FRAME,1.039555,-11.918733333333334,1.7,11.1,175129.76159816643,115052.41258229215,174157.0,29,N
1676050918.2117364,0,63718,0,GPS1_FRAME,1.03955,-11.918740000000001,1.7,11.1,175129.0184051792,115051.8598950123,174158.0,29,N
1676050919.2123585,0,63719,0,GPS1_FRAME,1.039545,-11.918748333333333,1.7,11.2,175128.08954191214,115051.30737947738,174159.0,29,N
