Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_northing,UTM_easting,UTC,Zone,Letter
1676050037.2430255,0,62837,0,GPS1_FRAME,1.0390716666666668,-11.917856666666667,2.4,6.3,175227.3746677892,114998.82944994047,172717.0,29,N
1676050038.2416193,0,62838,0,GPS1_FRAME,1.0390633333333334,-11.917865,2.4,6.4,175226.44546451065,114997.90801828913,172718.0,29,N
1676050039.2431173,0,62839,0,GPS1_FRAME,1.0390566666666667,-11.917873333333334,2.4,6.5,175225.516431724,114997.17104457757,172719.0,29,N
1676050040.242034,0,62840,0,GPS1_FRAME,1.03905,-11.917883333333332,2.4,6.6,175224.40172877,114996.43424247461,172720.0,29,N
1676050041.2425673,0,62841,0,GPS1_FRAME,1.0390433333333333,-11.91789,2.4,6.6,175223.65836613154,114995.69709712891,172721.0,29,N
1676050042.2421849,0,62842,0,GPS1_FRAME,1.0390366666666666,-11.917898333333333,2.4,6.7,175222.72933332558,114994.96012339181,172722.0,29,N
1676050043.2425556,0,62843,0,GPS1_FRAME,1.03903,-11.917906666666665,2.4,6.8,175221.8003005131,114994.22314964618,172723.0,29,N
1676050044.2589936,0,62844,0,GPS1_FRAME,1.0390233333333334,-11.917916666666667,2.4,6.8,175220.68559752346,114993.48634750671,172724.0,29,N
1676050045.2430937,0,62845,0,GPS1_FRAME,1.0390166666666667,-11.917925,2.4,6.9,175219.7565646962,114992.74937374341,172725.0,29,N
1676050046.2585077,0,62846,0,GPS1_FRAME,1.03901,-11.917933333333334,2.4,6.9,175218.8275318627,114992.01239997159,172726.0,29,N
1676050047.2590659,0,62847,0,GPS1_FRAME,1.0390033333333333,-11.917941666666668,2.4,7.0,175217.89849902265,114991.27542619128,172727.0,29,N
1676050048.2597196,0,62848,0,GPS1_FRAME,1.0389983333333332,-11.91795,2.4,7.0,175216.96963666822,114990.72291036606,172728.0,29,N
1676050049.2589836,0,62849,0,GPS1_FRAME,1.0389899999999999,-11.917956666666667,2.4,7.0,175216.22610350308,114989.80130699344,172729.0,29,N
1676050050.257908,0,62850,0,GPS1_FRAME,1.0389833333333334,-11.917961666666667,2.4,6.9,175215.66841100203,114989.06398996637,172730.0,29,N
1676050051.2594032,0,62851,0,GPS1_FRAME,1.038975,-11.917966666666667,2.4,6.9,175215.110548014,114988.14221496726,172731.0,29,N
1676050052.2594037,0,62852,0,GPS1_FRAME,1.0389683333333333,-11.917973333333332,2.4,6.9,175214.3671853349,114987.4050695369,172732.0,29,N
1676050053.2600474,0,62853,0,GPS1_FRAME,1.0389616666666666,-11.917981666666666,2.4,6.8,175213.43815246742,114986.66809570772,172733.0,29,N
1676050054.243407,0,62854,0,GPS1_FRAME,1.0389533333333332,-11.917988333333334,2.4,6.8,175212.69461929047,114985.74649229237,172734.0,29,N
1676050055.243189,0,62855,0,GPS1_FRAME,1.0389483333333334,-11.917995,2.4,6.8,175211.95142708468,114985.19380480968,172735.0,29,N
1676050056.2432737,0,62856,0,GPS1_FRAME,1.03894,-11.918001666666667,2.4,6.7,175211.20789390575,114984.27220137767,172736.0,29,N
1676050057.2435815,0,62857,0,GPS1_FRAME,1.0389333333333333,-11.918008333333335,2.4,6.7,175210.46453120717,114983.53505590952,172737.0,29,N
1676050058.2582726,0,62858,0,GPS1_FRAME,1.0389249999999999,-11.918013333333333,2.4,6.7,175209.90666821436,114982.61328085557,172738.0,29,N
1676050059.2421086,0,62859,0,GPS1_FRAME,1.0389166666666667,-11.91802,2.4,6.6,175209.16313502862,114981.6916773975,172739.0,29,N
1676050060.242761,0,62860,0,GPS1_FRAME,1.0389083333333333,-11.918026666666666,2.4,6.6,175208.41960184416,114980.77007392998,172740.0,29,N
1676050061.258256,0,62861,0,GPS1_FRAME,1.0389033333333333,-11.918036666666668,2.4,6.6,175207.30506922514,114980.21772961158,172741.0,29,N
1676050062.2411642,0,62862,0,GPS1_FRAME,1.0388966666666666,-11.918045000000001,2.4,6.6,175206.3760363137,114979.48075570584,172742.0,29,N
1676050063.2431564,0,62863,0,GPS1_FRAME,1.0388899999999999,-11.918055,2.4,6.5,175205.2613331969,114978.7439533924,172743.0,29,N
1676050064.2413995,0,62864,0,GPS1_FRAME,1.038885,-11.918065,2.4,6.5,175204.14680054714,114978.19160905191,172744.0,29,N
1676050065.242311,0,62865,0,GPS1_FRAME,1.03888,-11.918076666666668,2.4,6.5,175202.84659768332,114977.6394363055,172745.0,29,N
1676050066.2409413,0,62866,0,GPS1_FRAME,1.0388783333333333,-11.918088333333333,2.4,6.4,175201.54673576477,114977.45617952516,172746.0,29,N
1676050067.2406752,0,62867,0,GPS1_FRAME,1.038875,-11.9181,2.4,6.4,175200.24670335365,114977.08846475749,172747.0,29,N
1676050068.2407336,0,62868,0,GPS1_FRAME,1.038875,-11.918108333333333,2.4,6.4,175199.3183523076,114977.08932276408,172748.0,29,N
1676050069.2412164,0,62869,0,GPS1_FRAME,1.0388733333333333,-11.918111666666666,2.4,6.4,175198.94684140547,114976.90520797715,172749.0,29,N
1676050070.2421446,0,62870,0,GPS1_FRAME,1.03887,-11.918116666666666,2.4,6.4,175198.38948981074,114976.53680679995,172750.0,29,N
1676050071.2407198,0,62871,0,GPS1_FRAME,1.0388683333333333,-11.918123333333334,2.4,6.4,175197.64663848007,114976.35303521351,172751.0,29,N
1676050072.2405727,0,62872,0,GPS1_FRAME,1.0388666666666666,-11.918133333333333,2.4,6.3,175196.53244671517,114976.16960682956,172752.0,29,N
1676050073.24078,0,62873,0,GPS1_FRAME,1.0388650000000001,-11.918145,2.4,6.3,175195.23258472705,114975.98635004791,172753.0,29,N
1676050074.2405913,0,62874,0,GPS1_FRAME,1.0388650000000001,-11.918155,2.4,6.3,175194.1185634209,114975.98737966215,172754.0,29,N
1676050075.2410476,0,62875,0,GPS1_FRAME,1.0388633333333332,-11.918166666666668,2.4,6.4,175192.81870140292,114975.80412288394,172755.0,29,N
