time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/03/24/13:37:58.204263,155,1679679478,203504085,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173758.0,19,T
2023/03/24/13:37:59.205442,156,1679679479,204753637,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173759.0,19,T
2023/03/24/13:38:00.204667,157,1679679480,204015731,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173800.0,19,T
2023/03/24/13:38:01.223447,158,1679679481,222887277,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173801.0,19,T
2023/03/24/13:38:02.203886,159,1679679482,203190326,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173802.0,19,T
2023/03/24/13:38:03.223658,160,1679679483,222986221,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173803.0,19,T
2023/03/24/13:38:04.223312,161,1679679484,222361803,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173804.0,19,T
2023/03/24/13:38:05.223397,162,1679679485,222786664,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173805.0,19,T
2023/03/24/13:38:06.222643,163,1679679486,221891641,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173806.0,19,T
2023/03/24/13:38:07.205120,164,1679679487,204411983,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173807.0,19,T
2023/03/24/13:38:08.203887,165,1679679488,203246593,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173808.0,19,T
2023/03/24/13:38:09.203270,166,1679679489,202719926,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173809.0,19,T
2023/03/24/13:38:10.203328,167,1679679490,202600479,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173810.0,19,T
2023/03/24/13:38:11.204112,168,1679679491,203413724,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173811.0,19,T
2023/03/24/13:38:12.205578,169,1679679492,203346729,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173812.0,19,T
2023/03/24/13:38:13.204682,170,1679679493,203960180,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173813.0,19,T
